#=#=#=# Syncrun started  2022-02-04T23:20:37Z 
#=#=#=#=# Propagation starts 2022-02-04T23:20:37Z (last step: 168 msec , total: 168 msec) 
#=#=#=# Syncrun finished 2022-02-04T23:20:37Z (last step: 7 msec , total: 175 msec) 
#=#=#=# Syncrun started  2022-02-05T01:20:42Z 
#=#=#=#=# Propagation starts 2022-02-05T01:20:43Z (last step: 501 msec , total: 501 msec) 
#=#=#=# Syncrun finished 2022-02-05T01:20:43Z (last step: 7 msec , total: 508 msec) 
#=#=#=# Syncrun started  2022-02-05T03:20:47Z 
#=#=#=#=# Propagation starts 2022-02-05T03:20:47Z (last step: 262 msec , total: 262 msec) 
#=#=#=# Syncrun finished 2022-02-05T03:20:48Z (last step: 66 msec , total: 328 msec) 
#=#=#=# Syncrun started  2022-02-05T05:20:52Z 
#=#=#=#=# Propagation starts 2022-02-05T05:20:52Z (last step: 193 msec , total: 193 msec) 
#=#=#=# Syncrun finished 2022-02-05T05:20:52Z (last step: 7 msec , total: 201 msec) 
#=#=#=# Syncrun started  2022-02-05T07:20:57Z 
#=#=#=#=# Propagation starts 2022-02-05T07:20:58Z (last step: 343 msec , total: 343 msec) 
#=#=#=# Syncrun finished 2022-02-05T07:20:58Z (last step: 8 msec , total: 351 msec) 
#=#=#=# Syncrun started  2022-02-05T09:21:02Z 
#=#=#=#=# Propagation starts 2022-02-05T09:21:03Z (last step: 389 msec , total: 389 msec) 
#=#=#=# Syncrun finished 2022-02-05T09:21:03Z (last step: 8 msec , total: 397 msec) 
#=#=#=# Syncrun started  2022-02-05T11:21:07Z 
#=#=#=#=# Propagation starts 2022-02-05T11:21:07Z (last step: 293 msec , total: 293 msec) 
#=#=#=# Syncrun finished 2022-02-05T11:21:08Z (last step: 9 msec , total: 302 msec) 
#=#=#=# Syncrun started  2022-02-05T13:21:12Z 
#=#=#=#=# Propagation starts 2022-02-05T13:21:13Z (last step: 514 msec , total: 514 msec) 
#=#=#=# Syncrun finished 2022-02-05T13:21:13Z (last step: 7 msec , total: 522 msec) 
#=#=#=# Syncrun started  2022-02-05T15:21:17Z 
#=#=#=#=# Propagation starts 2022-02-05T15:21:18Z (last step: 552 msec , total: 552 msec) 
#=#=#=# Syncrun finished 2022-02-05T15:21:18Z (last step: 9 msec , total: 562 msec) 
#=#=#=# Syncrun started  2022-02-05T17:21:22Z 
#=#=#=#=# Propagation starts 2022-02-05T17:21:23Z (last step: 346 msec , total: 346 msec) 
#=#=#=# Syncrun finished 2022-02-05T17:21:23Z (last step: 8 msec , total: 354 msec) 
#=#=#=# Syncrun started  2022-02-05T19:21:27Z 
